Module,Module Label,Page,Page Label,App Route,Route Status,Sidebar Path,Function Key,Function Label,Scoped?,What It Controls / Where To Find It,Notes
profix,Profix,dashboard,Dashboard,/admin,Live,Sidebar → Dashboard,refresh,Refresh,No,Reloads the dashboard KPIs and widgets.,Shared route with desk_booking.my_workspace — user's default tab (Profix vs Workspace) is chosen via preferences.
profix,Profix,dashboard,Dashboard,/admin,Live,Sidebar → Dashboard,export,Export,No,Exports current dashboard metrics as CSV.,Currently mocked/pending on the UI.
profix,Profix,dashboard,Dashboard,/admin,Live,Sidebar → Dashboard,change_default_view,Change Default View,No,Star icon that pins Profix / Workspace Manager as your landing tab.,PATCH /api/profile/preferences under the hood.
profix,Profix,all_requests,All Requests,/admin/open-tickets,Live,Sidebar → ProfiX → All Requests,create_ticket,New Request,Yes,Top-right ""New Request"" button on the ticket list.,Scope narrows what tickets the created row is associated with.
profix,Profix,all_requests,All Requests,/admin/open-tickets,Live,Sidebar → ProfiX → All Requests,export_tickets,Export CSV,No,CSV-download icon in the header of the ticket list.,
profix,Profix,all_requests,All Requests,/admin/open-tickets,Live,Sidebar → ProfiX → All Requests,refresh_list,Refresh,No,Refresh icon on the ticket list.,
profix,Profix,all_requests,All Requests,/admin/open-tickets,Live,Sidebar → ProfiX → All Requests,filter,Filter,No,Shows / enables the whole filter bar (status / priority / team / etc.).,Hides the entire filter bar when visible=false — page becomes list-only.
profix,Profix,all_requests,All Requests,/admin/open-tickets,Live,Sidebar → ProfiX → All Requests,bulk_assign,Bulk Assign,Yes,""Assign Selected"" dropdown that appears when 1+ rows are ticked.,Scope determines who can be selected as an assignee.
profix,Profix,open_requests,Open Requests,/admin/open-requests,Live,Sidebar → ProfiX → Open Requests,create_ticket,New Request,Yes,""New Request"" button on the Open-only view.,
profix,Profix,open_requests,Open Requests,/admin/open-requests,Live,Sidebar → ProfiX → Open Requests,export_tickets,Export CSV,No,CSV export on the Open view.,
profix,Profix,open_requests,Open Requests,/admin/open-requests,Live,Sidebar → ProfiX → Open Requests,refresh_list,Refresh,No,Refresh icon on the Open view.,
profix,Profix,open_requests,Open Requests,/admin/open-requests,Live,Sidebar → ProfiX → Open Requests,assign_to_me,Assign to Me,No,Row-level ""Assign to Me"" button (Delivery / DQ workflow).,
profix,Profix,unassigned,Unassigned Requests,/admin/unassigned,Live,Sidebar → ProfiX → Unassigned,assign,Assign,Yes,Row-level Assign dropdown on unassigned tickets.,Scope decides which team members appear in the dropdown.
profix,Profix,unassigned,Unassigned Requests,/admin/unassigned,Live,Sidebar → ProfiX → Unassigned,refresh_list,Refresh,No,Refresh icon on the unassigned view.,
profix,Profix,unassigned,Unassigned Requests,/admin/unassigned,Live,Sidebar → ProfiX → Unassigned,export_tickets,Export CSV,No,CSV export on the unassigned view.,
profix,Profix,ticket_detail,Request Details,/admin/tickets/:id,Live,Click a ticket row → detail page,edit,Edit,Yes,""Edit"" button on a single ticket page (title / description / priority).,
profix,Profix,ticket_detail,Request Details,/admin/tickets/:id,Live,Click a ticket row → detail page,delete,Delete,Yes,Delete a ticket from its detail page.,Not yet exposed in UI — planned.
profix,Profix,ticket_detail,Request Details,/admin/tickets/:id,Live,Click a ticket row → detail page,assign,Assign,Yes,Assign / Reassign dropdown in the detail header.,
profix,Profix,ticket_detail,Request Details,/admin/tickets/:id,Live,Click a ticket row → detail page,add_comment,Add Comment,Yes,Post-comment form on the ticket detail.,
